2025-12-06 23:46:37 | INFO | __main__ | FastAPI application instance created
2025-12-06 23:46:37 | INFO | __main__ | CORS middleware configured to allow all origins
2025-12-06 23:47:28 | INFO | __main__ | FastAPI application instance created
2025-12-06 23:47:28 | INFO | __main__ | CORS middleware configured to allow all origins
2025-12-06 23:47:28 | INFO | __main__ | Starting uvicorn server on 0.0.0.0:8000
2025-12-06 23:47:29 | INFO | __mp_main__ | FastAPI application instance created
2025-12-06 23:47:29 | INFO | __mp_main__ | CORS middleware configured to allow all origins
2025-12-06 23:47:29 | INFO | server | FastAPI application instance created
2025-12-06 23:47:29 | INFO | server | CORS middleware configured to allow all origins
2025-12-06 23:47:29 | INFO | server | Application lifespan startup: initializing database
2025-12-06 23:47:29 | INFO | database | Checking and creating database if not exists
2025-12-06 23:47:29 | INFO | database | Database 'pana-db' already exists
2025-12-06 23:47:29 | INFO | database | Setting up async SQLAlchemy engine and session
2025-12-06 23:47:29 | INFO | database | Connected to database 'pana-db' at localhost:5433
2025-12-06 23:47:29 | INFO | database | Ensuring all tables are created
2025-12-06 23:47:29 | INFO | database | Tables ensured/created
2025-12-06 23:47:29 | INFO | server | Application lifespan started successfully
2025-12-06 23:47:44 | INFO | server | Health check endpoint '/' called
2025-12-06 23:47:57 | INFO | server | Application lifespan shutdown: disconnecting database
2025-12-06 23:47:57 | INFO | database | Disconnecting from database and disposing engine
2025-12-06 23:47:57 | INFO | database | Asyncpg connection closed
2025-12-06 23:47:57 | INFO | database | SQLAlchemy engine disposed
2025-12-06 23:47:57 | INFO | database | Disconnected from database
2025-12-06 23:47:57 | INFO | server | Application shutdown cleanup complete
2025-12-07 00:25:51 | INFO | __main__ | FastAPI application instance created
2025-12-07 00:25:51 | INFO | __main__ | CORS middleware configured to allow all origins
2025-12-07 00:25:51 | INFO | __main__ | Starting uvicorn server on 0.0.0.0:8000
2025-12-07 00:25:52 | INFO | __mp_main__ | FastAPI application instance created
2025-12-07 00:25:52 | INFO | __mp_main__ | CORS middleware configured to allow all origins
2025-12-07 00:25:52 | INFO | server | FastAPI application instance created
2025-12-07 00:25:52 | INFO | server | CORS middleware configured to allow all origins
2025-12-07 00:25:52 | INFO | server | Application lifespan startup: initializing database
2025-12-07 00:25:52 | INFO | database | Checking and creating database if not exists
2025-12-07 00:25:53 | INFO | database | Database 'pana-db' already exists
2025-12-07 00:25:53 | INFO | database | Setting up async SQLAlchemy engine and session
